wkt_geom,name,quhua,shi,sheng,xiangzhend,XIAN_1,SHENG_1,SHI_1,xcoord,ycoord
Point (114.28874682204637736 30.54248910943026374),黄鹤楼街办事处,420106007,4201,42,0,420106,42,4201,114.2887468,30.54248911
Point (114.29306277323489383 30.52953329526025072),紫阳街办事处,420106008,4201,42,0,420106,42,4201,114.2930628,30.5295333
Point (114.30973595278038601 30.54937550435507276),粮道街办事处,420106005,4201,42,0,420106,42,4201,114.309736,30.5493755
Point (114.2916253692078925 30.55281738226841881),中华路街办事处,420106006,4201,42,0,420106,42,4201,114.2916254,30.55281738
Point (114.33919081306565602 30.60287460271394622),杨园街办事处,420106002,4201,42,0,420106,42,4201,114.3391908,30.6028746
Point (114.3227295303487665 30.58640086806511249),徐家棚街办事处,420106003,4201,42,0,420106,42,4201,114.3227295,30.58640087
Point (114.2853903178688455 30.5882839629498946),大智街办事处,420102002,4201,42,0,420102,42,4201,114.2853903,30.58828396
Point (114.29857592713312897 30.58691733697640913),一元街办事处,420102003,4201,42,0,420102,42,4201,114.2985759,30.58691734
Point (114.14269574442295152 30.69730821193478931),东流港牧业园管委会,420112,4201,42,0,420112,42,4201,114.1426957,30.69730821
Point (114.55245063072156597 30.69938889143537253),阳逻经济开发区,420117,4201,42,0,420117,42,4201,114.5524506,30.69938889
Point (114.18713354698047624 30.59401032837116929),古田街,420104,4201,42,0,420104,42,4201,114.1871335,30.59401033
Point (114.1869090532985922 30.54513702099897898),汉阳经济开发区,420105,4201,42,0,420105,42,4201,114.1869091,30.54513702
Point (114.2750633111294718 30.64403764687883225),塔子湖街,420102,4201,42,0,420102,42,4201,114.2750633,30.64403765
Point (114.31814262096368395 30.6303467366820712),新村街办事处,420102011,4201,42,0,420102,42,4201,114.3181426,30.63034674
Point (114.33518927374451835 30.66112495069596022),丹水池街办事处,420102012,4201,42,0,420102,42,4201,114.3351893,30.66112495
Point (114.291848097123804 30.60956977165502835),劳动街办事处,420102009,4201,42,0,420102,42,4201,114.2918481,30.60956977
Point (114.31025689759233899 30.61882677289652932),二七街办事处,420102010,4201,42,0,420102,42,4201,114.3102569,30.61882677
Point (114.2805297516325993 30.59632716528654583),西马街办事处,420102007,4201,42,0,420102,42,4201,114.2805298,30.59632717
Point (114.29202004250689129 30.59561106375185346),球场街办事处,420102008,4201,42,0,420102,42,4201,114.29202,30.59561106
Point (114.30460565068315759 30.59962391484690514),四唯街办事处,420102005,4201,42,0,420102,42,4201,114.3046057,30.59962391
Point (114.30947281802596649 30.60561272657467669),永清街办事处,420102006,4201,42,0,420102,42,4201,114.3094728,30.60561273
Point (114.27922648923100724 30.58008452462318161),花楼街办事处,420103002,4201,42,0,420103,42,4201,114.2792265,30.58008452
Point (114.28736007660678808 30.5790812436787327),水塔街办事处,420103003,4201,42,0,420103,42,4201,114.2873601,30.57908124
Point (114.30902563844638564 30.64989568904699979),百步亭花园,420102400,4201,42,0,420102,42,4201,114.3090256,30.64989569
Point (114.28416676300443555 30.56966227198387287),民族街办事处,420103001,4201,42,0,420103,42,4201,114.2841668,30.56966227
Point (114.36975067298308772 30.68301197747453557),谌家矶街办事处,420102016,4201,42,0,420102,42,4201,114.3697507,30.68301198
Point (114.29746277322232118 30.65677082461562364),后湖街办事处,420102017,4201,42,0,420102,42,4201,114.2974628,30.65677082
Point (114.27503587921292194 30.59844115145896382),台北街办事处,420102014,4201,42,0,420102,42,4201,114.2750359,30.59844115
Point (114.27975565233684563 30.61950902639569705),花桥街办事处,420102015,4201,42,0,420102,42,4201,114.2797557,30.61950903
Point (114.26335114576824026 30.5992209850864576),北湖街办事处,420103010,4201,42,0,420103,42,4201,114.2633511,30.59922099
Point (114.25114240483217998 30.61061129203860531),常青街办事处,420103012,4201,42,0,420103,42,4201,114.2511424,30.61061129
Point (114.24680009105014733 30.59083976074371947),万松街办事处,420103008,4201,42,0,420103,42,4201,114.2468001,30.59083976
Point (114.26703976956861197 30.61339383968400085),唐家墩街办事处,420103009,4201,42,0,420103,42,4201,114.2670398,30.61339384
Point (114.27436520227186634 30.57828989311835244),民意街办事处,420103006,4201,42,0,420103,42,4201,114.2743652,30.57828989
Point (114.27273386497309104 30.58670752968616213),新华街办事处,420103007,4201,42,0,420103,42,4201,114.2727339,30.58670753
Point (114.28668493307142739 30.57415087618224447),民权街办事处,420103004,4201,42,0,420103,42,4201,114.2866849,30.57415088
Point (114.27778431600218312 30.57231577411387491),满春街办事处,420103005,4201,42,0,420103,42,4201,114.2777843,30.57231577
Point (114.2430004282957583 30.71610303622714611),盘龙城经济开发区,420116403,4201,42,0,420116,42,4201,114.2430004,30.71610304
Point (114.79321125277958515 30.82953666396842252),邾城街道,420117001,4201,42,F,420117,42,4201,114.7932113,30.82953666
Point (114.4546580857482212 31.11698382372007998),木兰乡,420116201,4201,42,F,420116,42,4201,114.4546581,31.11698382
Point (114.40250533429016855 30.80420316353296784),大潭原种场,420116402,4201,42,0,420116,42,4201,114.4025053,30.80420316
Point (114.4388974968153434 30.76617572519018751),三里桥街,420116105,4201,42,0,420116,42,4201,114.4388975,30.76617573
Point (114.25498293813761563 31.27763105671391841),蔡店乡,420116200,4201,42,F,420116,42,4201,114.2549829,31.27763106
Point (114.5372161817500114 30.95578418567661316),蔡榨街道,420116012,4201,42,F,420116,42,4201,114.5372162,30.95578419
Point (114.43372315883617318 30.72033666597647183),武湖街道,420116013,4201,42,0,420116,42,4201,114.4337232,30.72033667
Point (114.9310548076999936 30.84833577882460176),旧街街道,420117008,4201,42,0,420117,42,4201,114.9310548,30.84833578
Point (114.68936837318622679 30.61466364841699317),双柳街道,420117009,4201,42,F,420117,42,4201,114.6893684,30.61466365
Point (114.83456174194304822 30.92478306289074652),三店街道,420117006,4201,42,F,420117,42,4201,114.8345617,30.92478306
Point (114.91770413499070003 30.98041910039521341),潘塘街道,420117007,4201,42,F,420117,42,4201,114.9177041,30.9804191
Point (114.69523707986709837 30.78572184585155469),汪集街道,420117004,4201,42,F,420117,42,4201,114.6952371,30.78572185
Point (114.70740848539115575 30.88645421548615388),李集街道,420117005,4201,42,F,420117,42,4201,114.7074085,30.88645422
Point (114.6009267505667566 30.70175528640231022),阳逻街道,420117002,4201,42,0,420117,42,4201,114.6009268,30.70175529
Point (114.59769496444882009 30.82724573601814555),仓埠街道,420117003,4201,42,F,420117,42,4201,114.597695,30.82724574
Point (114.72848733259888832 30.68291016593610721),涨渡湖农场,420117401,4201,42,F,420117,42,4201,114.7284873,30.68291017
Point (114.73496493755654058 30.94453477960659882),凤凰镇,420117102,4201,42,F,420117,42,4201,114.7349649,30.94453478
Point (114.98912538774744974 30.87751315193826684),道观河风景旅游管理处,420117400,4201,42,0,420117,42,4201,114.9891254,30.87751315
Point (114.8156532814919899 30.77206552059078248),辛冲镇,420117100,4201,42,F,420117,42,4201,114.8156533,30.77206552
Point (114.99540291184439411 30.91339213144425813),徐古镇,420117101,4201,42,F,420117,42,4201,114.9954029,30.91339213
