ID,street,population,2020/1/1,2020/1/2,2020/1/3,2020/1/4,2020/1/5,2020/1/6,2020/1/7,2020/1/8,2020/1/9,2020/1/10,2020/1/11,2020/1/12,2020/1/13,2020/1/14,2020/1/15,2020/1/16,2020/1/17,2020/1/18,2020/1/19,2020/1/20,2020/1/21,2020/1/22,2020/1/23,2020/1/24,2020/1/25,2020/1/26,2020/1/27,2020/1/28,2020/1/29,2020/1/30,2020/1/31,2020/2/1,2020/2/2,2020/2/3,2020/2/4,2020/2/5,2020/2/6,2020/2/7,2020/2/8,2020/2/9,2020/2/10,2020/2/11,2020/2/12,2020/2/13,2020/2/14,2020/2/15,2020/2/16,2020/2/17,2020/2/18,2020/2/19,2020/2/20,2020/2/21,2020/2/22,2020/2/23,2020/2/24,2020/2/25,2020/2/26,2020/2/27,2020/2/28,2020/2/29,2020/3/1,2020/3/2,2020/3/3,2020/3/4,2020/3/5,2020/3/6,2020/3/7,2020/3/8,2020/3/9,2020/3/10,2020/3/11,2020/3/12,2020/3/13,2020/3/14,2020/3/15,2020/3/16,2020/3/17,2020/3/18,2020/3/19,2020/3/20
1,宝丰街道,56647,1,2,2,2,4,4,5,7,9,11,14,16,17,19,26,32,42,48,59,69,87,116,144,173,198,230,278,325,365,402,431,480,509,560,624,657,679,726,761,785,901,923,944,957,982,990,1008,1231,1325,1332,1337,1355,1358,1366,1368,1368,1370,1373,1385,1387,1390,1413,1416,1417,1418,1418,1418,1418,1418,1418,1418,1418,1418,1418,1418,1418,1418,1418,1418,1418
2,中南路街办事处,216216,8,10,11,11,12,14,15,15,18,25,30,35,44,54,73,91,112,129,156,202,249,293,350,426,479,543,612,678,735,787,837,948,994,1042,1069,1097,1119,1149,1174,1186,1209,1227,1249,1274,1287,1297,1306,1313,1318,1319,1326,1330,1333,1335,1339,1342,1345,1348,1349,1350,1351,1351,1351,1352,1352,1352,1355,1355,1356,1356,1357,1357,1357,1357,1357,1357,1357,1357,1357,1357
3,汉兴街办事处,150671,22,23,25,25,31,37,40,45,52,56,62,73,77,89,105,119,136,153,168,205,237,276,328,379,430,478,524,571,599,642,694,810,841,885,932,982,1011,1056,1121,1145,1162,1184,1229,1245,1252,1261,1269,1271,1277,1281,1287,1289,1295,1300,1302,1306,1310,1312,1314,1317,1321,1323,1323,1324,1324,1324,1325,1325,1325,1327,1327,1328,1328,1328,1328,1328,1328,1328,1328,1328
4,水果湖街办事处,178628,7,9,14,14,16,16,16,20,21,25,29,33,45,49,60,74,90,110,137,175,218,266,314,390,461,524,582,634,681,716,759,864,923,965,991,1015,1028,1048,1058,1071,1092,1106,1120,1132,1142,1144,1144,1149,1152,1154,1155,1156,1159,1160,1161,1163,1165,1167,1167,1167,1168,1170,1173,1174,1174,1174,1175,1175,1175,1175,1175,1175,1175,1175,1175,1175,1175,1175,1175,1175
5,后湖街办事处,137279,5,6,8,8,13,15,18,20,23,31,35,42,49,56,63,76,93,106,118,136,161,197,245,283,326,361,404,445,475,501,538,618,643,683,720,757,798,822,856,877,908,933,962,995,1010,1022,1038,1056,1064,1069,1073,1076,1078,1084,1086,1087,1093,1094,1103,1104,1107,1107,1108,1109,1112,1112,1114,1114,1114,1114,1115,1115,1115,1115,1115,1115,1115,1115,1115,1115
6,唐家墩街办事处,107612,34,42,48,48,51,55,57,60,62,65,67,74,81,88,100,111,134,162,184,226,250,286,325,358,392,427,468,502,531,557,578,634,667,696,717,735,758,775,784,794,809,825,854,870,881,898,905,916,925,932,935,937,939,942,943,944,947,948,948,948,949,952,953,954,956,959,964,965,965,965,967,967,967,967,967,967,967,967,967,967
7,五里墩街办事处,87346,8,9,9,9,10,11,11,15,18,25,28,34,45,49,52,62,74,89,103,129,156,191,241,283,331,363,399,435,459,497,537,599,644,667,686,707,743,764,787,810,830,843,852,865,878,887,900,902,905,908,908,908,908,908,909,911,911,916,916,918,919,919,921,921,922,922,922,922,922,922,922,922,922,922,922,922,922,922,922,922
8,徐家棚街办事处,123918,3,6,7,8,11,13,18,20,20,23,29,33,41,46,47,56,65,81,88,117,143,190,232,274,322,372,412,455,483,517,546,607,632,652,679,711,742,754,765,776,793,803,824,843,847,853,857,861,867,872,874,874,877,878,880,882,882,883,885,887,888,889,890,890,891,893,893,893,893,893,893,893,893,893,893,893,893,893,893,893
9,关东街道办事处,188996,5,6,6,6,7,7,8,8,8,12,12,13,15,20,27,34,45,57,66,89,116,147,181,221,255,302,341,385,427,460,487,544,569,609,639,658,678,717,732,753,772,779,797,804,815,823,830,833,838,846,851,858,860,861,862,863,865,869,869,870,871,873,876,877,880,880,880,882,883,886,886,886,886,886,886,886,886,886,886,886
10,蔡甸街道,146138,1,1,1,3,3,4,5,5,6,7,9,12,14,18,24,27,36,44,54,71,88,111,138,160,190,225,252,286,300,325,342,397,418,435,458,523,555,585,605,615,625,634,666,683,700,708,722,737,762,769,774,774,778,782,783,788,793,801,802,807,808,809,809,809,809,809,809,809,809,809,810,810,810,810,810,810,810,810,810,810
