ID,street,population,2020/1/1,2020/1/2,2020/1/3,2020/1/4,2020/1/5,2020/1/6,2020/1/7,2020/1/8,2020/1/9,2020/1/10,2020/1/11,2020/1/12,2020/1/13,2020/1/14,2020/1/15,2020/1/16,2020/1/17,2020/1/18,2020/1/19,2020/1/20,2020/1/21,2020/1/22,2020/1/23,2020/1/24,2020/1/25,2020/1/26,2020/1/27,2020/1/28,2020/1/29,2020/1/30,2020/1/31,2020/2/1,2020/2/2,2020/2/3,2020/2/4,2020/2/5,2020/2/6,2020/2/7,2020/2/8,2020/2/9,2020/2/10,2020/2/11,2020/2/12,2020/2/13,2020/2/14,2020/2/15,2020/2/16,2020/2/17,2020/2/18,2020/2/19,2020/2/20,2020/2/21,2020/2/22,2020/2/23,2020/2/24,2020/2/25,2020/2/26,2020/2/27,2020/2/28,2020/2/29,2020/3/1,2020/3/2,2020/3/3,2020/3/4,2020/3/5,2020/3/6,2020/3/7,2020/3/8,2020/3/9,2020/3/10,2020/3/11,2020/3/12,2020/3/13,2020/3/14,2020/3/15,2020/3/16,2020/3/17,2020/3/18,2020/3/19,2020/3/20
1,宝丰街道,56647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,10,14,19,27,37,42,57,76,109,135,174,213,229,258,278,401,470,543,569,616,661,704,735,777,893,900,905,915,938,953,966,1063,1066,1070,1121,1354,1357,1357,1374,1375,1400,1406,1411,1413,1414,1418,1418,1418,1418,1418,1418,1418,1418,1418,1418,1418
2,中南路街办事处,216216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,26,42,63,74,91,110,121,143,175,215,247,281,345,382,410,466,491,573,699,783,818,872,994,1051,1100,1158,1203,1230,1237,1245,1253,1257,1277,1287,1302,1305,1315,1330,1336,1340,1341,1347,1347,1349,1352,1354,1355,1355,1356,1357,1357,1357,1357,1357,1357,1357,1357,1357
3,汉兴街办事处,150671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,18,22,27,30,36,44,53,61,65,78,102,125,145,180,204,231,294,352,436,558,736,871,945,1001,1046,1078,1126,1174,1187,1193,1208,1239,1252,1266,1273,1278,1285,1287,1290,1302,1307,1311,1315,1319,1321,1322,1323,1325,1327,1327,1328,1328,1328,1328,1328,1328,1328,1328,1328
4,水果湖街办事处,178628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,16,22,28,52,68,82,106,128,149,172,204,232,270,340,434,481,532,576,655,725,784,873,922,954,990,1022,1049,1081,1087,1100,1104,1116,1121,1135,1137,1139,1143,1150,1155,1158,1160,1162,1166,1173,1173,1174,1175,1175,1175,1175,1175,1175,1175,1175,1175,1175,1175,1175,1175
5,后湖街办事处,137279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,17,23,25,41,49,60,68,81,100,118,137,185,232,280,321,347,449,511,621,690,748,802,841,867,904,979,1001,1020,1024,1033,1040,1058,1063,1071,1076,1088,1090,1091,1096,1100,1102,1107,1110,1112,1114,1114,1114,1115,1115,1115,1115,1115,1115,1115,1115,1115,1115
6,唐家墩街办事处,107612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,16,17,21,38,43,48,57,61,65,75,96,123,140,168,210,232,251,280,347,396,501,623,661,690,715,756,787,814,851,867,878,900,908,915,918,926,932,933,933,935,937,939,941,947,950,957,961,963,965,965,967,967,967,967,967,967,967,967,967
7,五里墩街办事处,87346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,11,20,21,27,29,31,37,39,42,58,72,121,177,189,207,214,231,279,330,469,588,615,663,699,781,808,824,835,845,856,871,877,887,892,898,905,906,908,910,910,912,917,919,921,922,922,922,922,922,922,922,922,922,922,922,922,922,922
8,徐家棚街办事处,123918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,16,21,29,34,39,48,56,63,87,112,135,197,235,278,307,340,408,469,524,561,599,640,654,703,725,750,768,777,791,805,806,823,827,832,840,859,864,866,870,873,877,887,890,892,892,892,893,893,893,893,893,893,893,893,893,893,893
9,关东街道办事处,188996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,12,16,22,25,26,30,35,53,88,107,142,188,221,263,276,370,394,453,519,625,661,688,714,730,756,767,770,776,786,790,799,803,827,839,845,859,862,862,864,867,873,878,878,878,878,882,883,886,886,886,886,886,886,886,886,886
10,蔡甸街道,146138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,7,7,7,10,10,13,31,41,60,66,85,97,155,226,250,315,348,436,459,514,553,562,623,657,702,718,725,728,744,763,769,773,782,795,797,804,806,808,808,809,809,809,809,809,809,809,810,810,810,810,810,810,810,810,810,810
11,长丰街道,179152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,12,14,16,16,17,19,20,29,42,49,62,80,94,101,125,149,230,293,354,413,457,498,533,569,600,626,641,655,661,681,687,696,705,719,723,746,754,756,760,761,765,767,770,773,775,775,776,776,777,777,777,777,777,777,777,777,777
12,杨园街办事处,109485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,6,9,14,22,25,26,28,34,37,50,69,93,122,167,203,247,272,301,363,408,457,488,518,544,561,605,619,666,675,680,684,692,696,705,708,711,713,722,734,739,744,744,745,750,752,752,752,753,753,753,754,754,754,754,754,754,754,754,754
